image,labels,n_objects,contains_top,split
KHDqmAmzCkmR6sPWc2J_-g,"['warning--curve-right--g2', 'complementary--chevron-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,['complementary--chevron-right--g1'],train
KIUUWkjJDB7uIXp1mxAySQ,"['warning--traffic-signals--g1', 'regulatory--pass-on-either-side--g1', 'other-sign', 'regulatory--pass-on-either-side--g1', 'other-sign', 'regulatory--yield--g1']",6,['regulatory--yield--g1'],train
KImqFhNLb1Tqm-wkX2yoCw,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--keep-right--g1', 'information--pedestrians-crossing--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-motor-vehicles-except-motorcycles--g1']",17,"['regulatory--no-entry--g1', 'information--pedestrians-crossing--g1']",test
KJJi1wNbQ85oJ-fa_36eng,"['complementary--chevron-left--g1', 'regulatory--stop--g10', 'regulatory--stop--g10', 'other-sign', 'complementary--chevron-left--g1', 'warning--railroad-crossing-without-barriers--g3', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'warning--railroad-crossing-without-barriers--g3', 'complementary--chevron-right--g1']",12,"['complementary--chevron-left--g1', 'complementary--chevron-right--g1']",train
KK76Hf2fp88QsTSbHyULkw,"['regulatory--no-left-turn--g1', 'regulatory--one-way-left--g3', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",9,['regulatory--no-entry--g1'],train
KKdMxyP4xMRrdZ5Ger8qZg,"['warning--roundabout--g1', 'regulatory--keep-right--g1', 'complementary--distance--g2', 'regulatory--yield--g1', 'other-sign']",5,['regulatory--yield--g1'],val
KKygeTK09JITZzGDmn30fg,"['other-sign', 'regulatory--no-entry--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'regulatory--maximum-speed-limit-100--g1', 'other-sign']",7,['regulatory--no-entry--g1'],test
KMFUoyffvLiJgK0TO9r7og,"['regulatory--no-stopping--g5', 'regulatory--turn-left--g1', 'regulatory--no-entry--g1', 'other-sign']",4,['regulatory--no-entry--g1'],train
KMNzZNHbHnNOldEblW59MA,"['other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign']",4,['regulatory--yield--g1'],val
KNLXZJnuc_GfPaXUC2g_mQ,"['other-sign', 'other-sign', 'warning--pedestrians-crossing--g5', 'other-sign', 'regulatory--no-overtaking--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-stopping--g15', 'regulatory--yield--g1', 'other-sign', 'other-sign']",12,['regulatory--yield--g1'],train
KO8Glwjm6FxL1qeEulRExA,"['warning--winding-road-first-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign']",7,['complementary--chevron-left--g1'],train
KOKqKya-7idsQ8gSc4jBDw,"['regulatory--turn-left--g1', 'warning--roadworks--g1', 'information--pedestrians-crossing--g1', 'regulatory--stop--g1', 'warning--road-bump--g1', 'other-sign', 'other-sign']",7,['information--pedestrians-crossing--g1'],train
KOVEitqtwwnA9wbdYmQBgw,"['regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--tow-away-zone--g1', 'other-sign', 'other-sign', 'regulatory--no-stopping--g5', 'regulatory--no-stopping--g5', 'other-sign']",31,['regulatory--no-entry--g1'],train
KOli59IKnOoinHD5sx-CIg,"['regulatory--yield--g1', 'regulatory--no-bicycles--g1', 'regulatory--priority-over-oncoming-vehicles--g1', 'regulatory--mopeds-and-bicycles-only--g1']",4,['regulatory--yield--g1'],train
KPeOVzTuHcCnC-qHYG-KlQ,"['regulatory--one-way-right--g1', 'regulatory--no-parking--g1', 'regulatory--no-entry--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'complementary--tow-away-zone--g1', 'other-sign', 'other-sign']",11,"['regulatory--no-entry--g1', 'information--pedestrians-crossing--g1']",train
KRyNFHtz5Lf4Dh9ddihVJA,"['information--telephone--g2', 'complementary--obstacle-delineator--g2', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign']",8,['complementary--chevron-left--g1'],train
KUNBGfuZWPSTIxXo9IbSYQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'warning--junction-with-a-side-road-perpendicular-right--g1', 'regulatory--yield--g1', 'information--end-of-built-up-area--g1', 'information--motorway--g1', 'other-sign', 'other-sign', 'regulatory--bicycles-only--g1', 'regulatory--bicycles-only--g1']",14,['regulatory--yield--g1'],train
KUdDuloIp-sDSfsvaXL4eQ,"['regulatory--yield--g1', 'warning--traffic-signals--g1', 'complementary--turn-left--g2']",3,['regulatory--yield--g1'],train
KUkjGuM9RPPUmaH49Z4klg,"['other-sign', 'regulatory--weight-limit--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign']",7,['information--pedestrians-crossing--g1'],train
KVlEvHnCwrkY_J2E8wH-iw,"['regulatory--no-u-turn--g1', 'regulatory--no-left-turn--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,['regulatory--yield--g1'],train
KXQGp1eQudhHJcLvVmRD-Q,"['regulatory--no-stopping--g15', 'regulatory--pedestrians-only--g2', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'complementary--tow-away-zone--g1']",6,['information--pedestrians-crossing--g1'],train
KYUnsIr4VDGVWuN5kjoRNw,"['information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign']",3,['information--pedestrians-crossing--g1'],val
KYfpjnRzz-3MJ71F3cTmEA,"['warning--stop-ahead--g9', 'regulatory--bicycles-only--g2', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign']",6,['regulatory--no-entry--g1'],train
KYql_ZQlJeJj192TPN3kvQ,"['complementary--distance--g2', 'regulatory--no-parking--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'information--parking--g1', 'other-sign', 'other-sign']",10,['information--pedestrians-crossing--g1'],train
K_n1ZsM8ezA0KkMP8xyLpA,"['regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--mopeds-and-bicycles-only--g1', 'other-sign', 'other-sign', 'other-sign']",6,['regulatory--yield--g1'],test
Ka6_wlDMusNLeVhHvNqAQA,"['other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign']",6,['complementary--chevron-left--g1'],train
KaUjh9_ylxHC9tHv4oY67w,"['warning--double-curve-first-left--g1', 'regulatory--pass-on-either-side--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1']",6,['regulatory--no-entry--g1'],train
KezLWCPry5nml20iVH6EWQ,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",4,['complementary--chevron-left--g1'],train
Khm7MNa6Rve6utd4wZ0bKw,"['regulatory--bicycles-only--g1', 'regulatory--keep-right--g1', 'regulatory--yield--g1', 'regulatory--pedestrians-only--g1', 'regulatory--end-of-speed-limit-zone--g1', 'regulatory--end-of-speed-limit-zone--g1', 'other-sign', 'complementary--extent-of-prohibition-area-both-direction--g1']",8,['regulatory--yield--g1'],train
Kj85HowDQV_CqapU9FY7zw,"['complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1']",5,['complementary--chevron-right--g1'],train
KkcwQSHRG25vhnNtfgaU_g,"['regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--roundabout--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",8,['regulatory--yield--g1'],val
KlDDuQEmftUTkDKlr26zEA,"['complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1']",3,['complementary--chevron-right--g1'],val
KldL8BmCoQ0LXZi-q6VFMg,"['regulatory--no-entry--g1', 'other-sign', 'other-sign']",3,['regulatory--no-entry--g1'],train
KmZdsfFAfPaLaQ3bxrgZiw,"['information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,['information--pedestrians-crossing--g1'],train
KnYbPN_b08OYQztAm-l6-g,"['regulatory--keep-right--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--obstacle-delineator--g2']",9,['information--pedestrians-crossing--g1'],test
KnlQu3yH-vEshGPYKxAhJw,"['regulatory--no-entry--g1', 'regulatory--keep-right--g1']",2,['regulatory--no-entry--g1'],train
KpauYxw10WBYMfbSlHd-Lg,"['complementary--chevron-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-right--g1', 'other-sign', 'complementary--chevron-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'other-sign', 'regulatory--yield--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'other-sign', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'other-sign', 'other-sign']",30,"['regulatory--yield--g1', 'complementary--chevron-right--g1']",train
KpzDqivaNAjil3CzseR1Og,"['information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--one-way-right--g1', 'information--parking--g1', 'information--parking--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",17,['information--pedestrians-crossing--g1'],train
Kq9MPFpllFiSRTGHh8Llfw,"['regulatory--no-entry--g1', 'other-sign']",2,['regulatory--no-entry--g1'],train
Kqls63tArWKj-A_HX4kQTA,"['regulatory--yield--g1', 'information--road-bump--g1', 'regulatory--turn-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,['regulatory--yield--g1'],train
Krk1uKiUCSMJiOaDPs654w,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign']",4,['complementary--chevron-left--g1'],train
Krw9J_xtMijTguGt97jRAA,"['regulatory--maximum-speed-limit-55--g2', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1']",4,['complementary--chevron-left--g1'],train
KscOWg-52htFVETL8b-3Ng,"['regulatory--priority-road--g4', 'other-sign', 'regulatory--pedestrians-only--g1', 'other-sign', 'regulatory--no-stopping--g15', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign']",10,['regulatory--yield--g1'],train
Kt1SFfr7cLK5mfez2pPUPA,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--keep-right--g1', 'regulatory--yield--g1', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--pass-on-either-side--g1', 'regulatory--yield--g1', 'regulatory--roundabout--g1', 'other-sign', 'other-sign', 'other-sign']",15,"['regulatory--yield--g1', 'regulatory--no-entry--g1']",val
Kt3AbJ1oS-WXQFBzfDTocA,['information--pedestrians-crossing--g1'],1,['information--pedestrians-crossing--g1'],train
Kt74oD71xjz0Lg47cApFpQ,"['regulatory--go-straight-or-turn-left--g1', 'regulatory--priority-road--g4', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'regulatory--one-way-straight--g1', 'other-sign', 'other-sign']",8,['information--pedestrians-crossing--g1'],train
KwElVG7s4aO6ufeYLjTFxA,"['regulatory--no-entry--g1', 'other-sign']",2,['regulatory--no-entry--g1'],train
KwvXmPhc8Jw0WZTEXGCPVg,['complementary--chevron-left--g1'],1,['complementary--chevron-left--g1'],test
Kx0WLNz-6LqVsaQNvCi-nw,"['other-sign', 'warning--pedestrians-crossing--g4', 'other-sign', 'regulatory--yield--g1', 'regulatory--one-way-right--g3', 'regulatory--one-way-right--g3', 'regulatory--yield--g1', 'complementary--chevron-right--g3', 'regulatory--one-way-right--g3']",9,['regulatory--yield--g1'],train
KxUcg2tK5nXHkKAPTE_36Q,"['regulatory--yield--g1', 'regulatory--yield--g1', 'information--dead-end--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",16,['regulatory--yield--g1'],train
KxdjkI4rjDxzd8j1aqHAPw,"['regulatory--no-entry--g1', 'warning--other-danger--g1', 'other-sign', 'other-sign', 'other-sign']",5,['regulatory--no-entry--g1'],val
KyN_hyPZcAYrmXzLBZNaIw,"['other-sign', 'other-sign', 'regulatory--priority-road--g4', 'information--pedestrians-crossing--g1']",4,['information--pedestrians-crossing--g1'],train
Kynszm90pPORO_lqbLZMzQ,"['regulatory--no-u-turn--g1', 'information--highway-exit--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,['complementary--chevron-right--g1'],train
KzEcYHhkg9xJBKxns0HFvw,"['other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",6,['information--pedestrians-crossing--g1'],val
KzGEw_mAi-Ohr0dKJ2xi2A,"['regulatory--no-parking--g1', 'regulatory--no-heavy-goods-vehicles--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1']",6,['regulatory--no-entry--g1'],val
KzjnzzyiZ07DZ2rO_YRbLg,"['regulatory--no-entry--g1', 'regulatory--keep-right--g4', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--disabled-persons--g1', 'complementary--obstacle-delineator--g2', 'other-sign', 'other-sign']",13,['regulatory--no-entry--g1'],val
KzkUuwTuq-tdRhKN-xwjpQ,"['information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",6,['information--pedestrians-crossing--g1'],train
L-e4qA2SiiwgwZ8--yXJvg,"['regulatory--no-entry--g1', 'information--parking--g1', 'warning--road-bump--g1']",3,['regulatory--no-entry--g1'],train
L2fhEq_0wTOBQXaGI4iJNQ,"['complementary--chevron-left--g2', 'complementary--chevron-left--g2', 'complementary--chevron-left--g2', 'complementary--chevron-left--g1', 'complementary--chevron-left--g2']",5,['complementary--chevron-left--g1'],train
L59YqLjE4ZIyDwgueZnXWA,"['other-sign', 'other-sign', 'regulatory--yield--g1', 'regulatory--turn-right--g1', 'information--pedestrians-crossing--g1', 'complementary--go-left--g1', 'other-sign', 'other-sign', 'regulatory--no-heavy-goods-vehicles--g1']",9,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']",train
L5igtBY84l9tGntIdVRhsA,"['other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",6,['information--pedestrians-crossing--g1'],train
L67jjlr4BHwKsSu5ux4VKA,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign']",3,['complementary--chevron-left--g1'],train
L70mAAwN-_AltcMxxpz32g,"['warning--pedestrians-crossing--g4', 'warning--pedestrians-crossing--g4', 'warning--pedestrians-crossing--g4', 'regulatory--roundabout--g2', 'complementary--keep-right--g1', 'complementary--keep-left--g1', 'other-sign', 'complementary--keep-left--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1']",13,['regulatory--yield--g1'],train
L7HKPrx0deMtJ-fxxSJwiQ,"['warning--pass-left-or-right--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'other-sign', 'regulatory--passing-lane-ahead--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-right--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign', 'warning--pedestrians-crossing--g4', 'other-sign', 'other-sign', 'other-sign', 'warning--added-lane-right--g1', 'warning--turn-right--g1', 'other-sign', 'complementary--maximum-speed-limit-25--g1', 'other-sign', 'other-sign', 'regulatory--priority-road--g4']",37,"['complementary--chevron-left--g1', 'complementary--chevron-right--g1']",train
L7KkQ8St4h6vjkcVInFVzA,"['warning--road-bump--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'regulatory--maximum-speed-limit-40--g1', 'complementary--distance--g1', 'other-sign', 'other-sign']",7,['information--pedestrians-crossing--g1'],train
L7kCYuFGe__LcvbSfRjolQ,"['regulatory--yield--g1', 'other-sign', 'other-sign']",3,['regulatory--yield--g1'],train
L8FEXqkjPHoIdtQWRmfhHg,"['complementary--chevron-right--g1', 'regulatory--no-stopping--g15', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1']",4,['complementary--chevron-right--g1'],test
L8JovYN-XutxyOU6q2pmjw,"['complementary--maximum-speed-limit-35--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",24,['complementary--chevron-right--g1'],train
L8KWIX51rZZazGYZysVevw,"['other-sign', 'other-sign', 'complementary--chevron-right--g1', 'other-sign', 'other-sign', 'complementary--chevron-right--g1', 'complementary--chevron-right--g5', 'other-sign', 'regulatory--road-closed--g2', 'other-sign', 'other-sign', 'other-sign', 'warning--double-turn-first-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",17,['complementary--chevron-right--g1'],test
L8k0Gys_BNqY28WbB47AIQ,"['regulatory--one-way-straight--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--one-way-straight--g1', 'regulatory--one-way-straight--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--keep-left--g1', 'regulatory--no-entry--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",17,"['regulatory--no-entry--g1', 'information--pedestrians-crossing--g1']",val
L9fvqI035EjKK9UaBfiefg,"['other-sign', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'warning--railroad-crossing-without-barriers--g1', 'information--pedestrians-crossing--g1', 'regulatory--roundabout--g1', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1', 'information--dead-end--g1', 'regulatory--end-of-maximum-speed-limit-30--g2', 'regulatory--yield--g1', 'regulatory--turn-right-ahead--g1', 'information--pedestrians-crossing--g1', 'regulatory--keep-right--g1', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'regulatory--keep-right--g1', 'other-sign']",21,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']",train
LA63N43-CW9M-hZt6dml5w,"['warning--pedestrians-crossing--g4', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign']",9,['regulatory--no-entry--g1'],train
LA8GfA8clFDGsOxVkBkXhg,"['regulatory--no-u-turn--g1', 'regulatory--yield--g1', 'regulatory--radar-enforced--g1', 'other-sign']",4,['regulatory--yield--g1'],train
LAQUmBXbtlCvmBD7ktS_QA,"['warning--winding-road-first-right--g1', 'complementary--chevron-right--g1', 'other-sign', 'other-sign']",4,['complementary--chevron-right--g1'],val
LATrvS1tqTRF7oCSCDoG6g,"['complementary--chevron-right--g1', 'warning--junction-with-a-side-road-acute-left--g1']",2,['complementary--chevron-right--g1'],train
LB7gtkuIwdLJafnTIEBt0g,"['regulatory--no-entry--g1', 'regulatory--one-way-straight--g1', 'other-sign', 'other-sign', 'other-sign']",5,['regulatory--no-entry--g1'],train
LBBzH26i05fi9EGGIflELA,"['regulatory--one-way-straight--g1', 'other-sign', 'other-sign', 'regulatory--turn-right-ahead--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,['regulatory--no-entry--g1'],train
LBdQZANByOdIWyATS_-mqQ,"['regulatory--yield--g1', 'regulatory--roundabout--g1', 'information--pedestrians-crossing--g1', 'regulatory--keep-right--g1', 'warning--other-danger--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--parking--g1']",10,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']",train
LCNmN0WN--uj2MkT2e8alg,"['regulatory--yield--g1', 'warning--pedestrians-crossing--g4', 'complementary--extent-of-prohibition-area-both-direction--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'complementary--chevron-right--g1', 'other-sign']",13,"['regulatory--yield--g1', 'complementary--chevron-right--g1']",train
LCpkyNrR2JXkLjRZ_rqwLQ,"['regulatory--maximum-speed-limit-110--g1', 'other-sign', 'other-sign', 'regulatory--keep-right--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'information--motorway--g1', 'regulatory--no-entry--g1', 'other-sign']",10,['regulatory--no-entry--g1'],train
LDL_WGpOCRgf-7kQ9tjDsQ,"['warning--roadworks--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--shared-path-pedestrians-and-bicycles--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--maximum-speed-limit-30--g1', 'regulatory--maximum-speed-limit-30--g1', 'regulatory--no-entry--g1', 'other-sign']",20,['regulatory--no-entry--g1'],train
LEmJ-UDwIHI9TONKgdzA8w,"['complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'other-sign']",3,['complementary--chevron-right--g1'],train
LEtgPDMbcCiqntpznuFigQ,"['information--pedestrians-crossing--g1', 'other-sign', 'regulatory--no-entry--g1']",3,"['information--pedestrians-crossing--g1', 'regulatory--no-entry--g1']",train
LGeec_W8OG2plXmc7TATdQ,"['regulatory--no-entry--g1', 'warning--junction-with-a-side-road-perpendicular-right--g1', 'regulatory--no-pedestrians--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",12,"['regulatory--yield--g1', 'regulatory--no-entry--g1']",train
LH9Qv9T-5VE9-BuviBPhCA,"['warning--pedestrians-crossing--g11', 'regulatory--maximum-speed-limit-25--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign']",7,['regulatory--yield--g1'],train
LHj7JqjDPuCdwo8kYTiwqA,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'warning--wombat-crossing--g1', 'other-sign', 'complementary--chevron-left--g1']",5,['complementary--chevron-left--g1'],train
LIaH7Uc1r0zWTqAYYz9djQ,"['complementary--chevron-right--g1', 'warning--junction-with-a-side-road-perpendicular-right--g3', 'complementary--chevron-right--g1', 'complementary--chevron-right--g1', 'other-sign', 'other-sign']",6,['complementary--chevron-right--g1'],test
LItEnUeKd9nOXp7_0Aa8Jg,"['regulatory--no-entry--g1', 'other-sign', 'other-sign']",3,['regulatory--no-entry--g1'],test
LKeuzEue4cMfOH4h_3cN8w,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'regulatory--end-of-prohibition--g1']",6,"['regulatory--yield--g1', 'regulatory--no-entry--g1']",train
LKvSQDJz5KSYQyDZmwH_5w,"['regulatory--maximum-speed-limit-50--g1', 'regulatory--no-mopeds-or-bicycles--g1', 'regulatory--priority-road--g4', 'other-sign', 'complementary--turn-left--g2', 'regulatory--keep-right--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,['regulatory--yield--g1'],train
