image,labels,n_objects,split,contains_top
Ko1zwsWk5X0Hh-MsRgeHhw,"['warning--double-curve-first-right--g1', 'complementary--distance--g1', 'other-sign', 'other-sign', 'other-sign']",5,val,['other-sign']
KpzDqivaNAjil3CzseR1Og,"['information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--one-way-right--g1', 'information--parking--g1', 'information--parking--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",17,train,"['other-sign', 'information--pedestrians-crossing--g1']"
Krw9J_xtMijTguGt97jRAA,"['regulatory--maximum-speed-limit-55--g2', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1']",4,val,"['other-sign', 'complementary--chevron-left--g1']"
Kt1SFfr7cLK5mfez2pPUPA,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--keep-right--g1', 'regulatory--yield--g1', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--pass-on-either-side--g1', 'regulatory--yield--g1', 'regulatory--roundabout--g1', 'other-sign', 'other-sign', 'other-sign']",15,test,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
Kt3AbJ1oS-WXQFBzfDTocA,['information--pedestrians-crossing--g1'],1,test,['information--pedestrians-crossing--g1']
Kt74oD71xjz0Lg47cApFpQ,"['regulatory--go-straight-or-turn-left--g1', 'regulatory--priority-road--g4', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'regulatory--one-way-straight--g1', 'other-sign', 'other-sign']",8,train,"['other-sign', 'information--pedestrians-crossing--g1']"
KtECm46YoUxwWRW_Ay-C5A,"['other-sign', 'regulatory--priority-road--g4', 'other-sign']",3,train,['other-sign']
KvgDDg7joRjeMN_LXmE-dw,['other-sign'],1,train,['other-sign']
KwvXmPhc8Jw0WZTEXGCPVg,['complementary--chevron-left--g1'],1,train,['complementary--chevron-left--g1']
KyN_hyPZcAYrmXzLBZNaIw,"['other-sign', 'other-sign', 'regulatory--priority-road--g4', 'information--pedestrians-crossing--g1']",4,train,"['other-sign', 'information--pedestrians-crossing--g1']"
L22lmNfqMEU-EhEJJ0FZEA,"['other-sign', 'other-sign', 'other-sign', 'other-sign']",4,val,['other-sign']
L5igtBY84l9tGntIdVRhsA,"['other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",6,val,"['other-sign', 'information--pedestrians-crossing--g1']"
L9fvqI035EjKK9UaBfiefg,"['other-sign', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'warning--railroad-crossing-without-barriers--g1', 'information--pedestrians-crossing--g1', 'regulatory--roundabout--g1', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1', 'information--dead-end--g1', 'regulatory--end-of-maximum-speed-limit-30--g2', 'regulatory--yield--g1', 'regulatory--turn-right-ahead--g1', 'information--pedestrians-crossing--g1', 'regulatory--keep-right--g1', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'regulatory--keep-right--g1', 'other-sign']",21,val,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
LBdQZANByOdIWyATS_-mqQ,"['regulatory--yield--g1', 'regulatory--roundabout--g1', 'information--pedestrians-crossing--g1', 'regulatory--keep-right--g1', 'warning--other-danger--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--parking--g1']",10,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
LHj7JqjDPuCdwo8kYTiwqA,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'warning--wombat-crossing--g1', 'other-sign', 'complementary--chevron-left--g1']",5,train,"['other-sign', 'complementary--chevron-left--g1']"
LL4bqlwFIf2sef4mBkeP8w,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign']",10,val,"['other-sign', 'regulatory--no-entry--g1']"
LMhfDVTNGnK5SRrVyS_Uug,"['regulatory--no-parking-or-no-stopping--g1', 'other-sign', 'complementary--chevron-left--g1']",3,test,"['other-sign', 'complementary--chevron-left--g1']"
LP1nGoQot_7jimQipT800A,"['regulatory--maximum-speed-limit-80--g1', 'complementary--chevron-left--g1', 'regulatory--yield--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,train,"['other-sign', 'regulatory--yield--g1', 'complementary--chevron-left--g1']"
LR7oufUP99NqF9cQlh1qrQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",5,test,['other-sign']
LSdSVEQB6GAtVtyjWHcaQA,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign']",4,train,"['other-sign', 'regulatory--yield--g1']"
LW2-tlNcZFzL45lGsYiIdw,"['information--pedestrians-crossing--g2', 'regulatory--maximum-speed-limit-40--g1', 'other-sign']",3,train,['other-sign']
LY-0VRAMknt9RcyLmbNO6A,"['regulatory--go-straight-or-turn-left--g1', 'warning--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",8,val,"['other-sign', 'regulatory--no-entry--g1']"
L_PPJXjTHd_LNpUfx-YvnQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",6,train,['other-sign']
Laf5ze6wyTKaOQXbGI_Xdw,"['warning--curve-right--g2', 'other-sign', 'other-sign']",3,train,['other-sign']
LbIUEZV7yCIprVu06EWewQ,"['other-sign', 'other-sign', 'regulatory--keep-right--g1', 'regulatory--yield--g1', 'regulatory--keep-right--g1', 'other-sign', 'regulatory--keep-right--g1']",7,train,"['other-sign', 'regulatory--yield--g1']"
LcJZFmsECms7-wRjtoT9sw,"['other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign']",5,train,"['other-sign', 'regulatory--no-entry--g1']"
Lf3voLV4kO_3ftQDvH38UQ,"['complementary--chevron-left--g1', 'warning--domestic-animals--g3', 'other-sign']",3,train,"['other-sign', 'complementary--chevron-left--g1']"
LsYBXBHWye57PMhLYOd3Ug,"['warning--uneven-road--g6', 'other-sign']",2,test,['other-sign']
LtaC3jhh8651ll44vwASqw,['regulatory--no-entry--g1'],1,test,['regulatory--no-entry--g1']
LwntxLgtm4WnByzAwlGjWQ,"['warning--falling-rocks-or-debris-right--g2', 'other-sign', 'regulatory--no-pedestrians--g2']",3,train,['other-sign']
M-S-g3CpUL1idHrT0CBGVg,"['information--road-bump--g1', 'regulatory--maximum-speed-limit-20--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign']",5,train,"['other-sign', 'information--pedestrians-crossing--g1']"
M0_6Fk4VUPZ49VNAwpl0AQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--wrong-way--g1', 'other-sign', 'complementary--go-left--g1', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--distance--g2', 'regulatory--lane-control--g1', 'regulatory--no-entry--g1', 'regulatory--lane-control--g1', 'other-sign', 'other-sign', 'other-sign']",22,val,"['other-sign', 'regulatory--no-entry--g1']"
M0tjxAF1Hl9KN2xm_Hq80A,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",8,train,"['other-sign', 'complementary--chevron-left--g1']"
MEDr2oO_Nx2q2LxMkH-q2g,"['regulatory--no-heavy-goods-vehicles--g4', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,train,"['other-sign', 'regulatory--yield--g1']"
MFGvWR6U1TuC4DoXJmFf7Q,"['complementary--chevron-left--g1', 'warning--road-narrows-right--g2', 'warning--road-narrows-right--g2', 'complementary--chevron-left--g1', 'regulatory--maximum-speed-limit-40--g1', 'regulatory--maximum-speed-limit-40--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign', 'regulatory--maximum-speed-limit-40--g1', 'complementary--chevron-left--g1', 'complementary--one-direction-left--g1', 'other-sign', 'complementary--maximum-speed-limit-40--g1']",15,train,"['other-sign', 'complementary--chevron-left--g1']"
MGPTpt4uFuwrvELf7GL01g,"['information--disabled-persons--g1', 'information--pedestrians-crossing--g1', 'warning--turn-right--g2', 'other-sign', 'warning--junction-with-a-side-road-perpendicular-right--g1', 'other-sign']",6,test,"['other-sign', 'information--pedestrians-crossing--g1']"
MHLZf03F0guOuiz3cEgHOw,"['regulatory--maximum-speed-limit-10--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-right-turn--g1', 'regulatory--pass-on-either-side--g1', 'regulatory--no-vehicles-carrying-dangerous-goods--g1', 'regulatory--height-limit--g1', 'information--road-bump--g1', 'information--road-bump--g1', 'regulatory--pass-on-either-side--g1', 'regulatory--no-entry--g1', 'regulatory--yield--g1']",17,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
MHsmH3tD2ZcE2qsEx0FVOg,"['warning--divided-highway-ends--g1', 'other-sign', 'other-sign', 'other-sign']",4,val,['other-sign']
MM-4wjjF2JySzJppC34xJg,"['other-sign', 'regulatory--go-straight--g1', 'regulatory--yield--g1', 'regulatory--no-stopping--g15', 'other-sign', 'other-sign', 'regulatory--go-straight-or-turn-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--go-straight--g1', 'other-sign']",13,train,"['other-sign', 'regulatory--yield--g1']"
MQixcnp_jm33J-2Q6irsJA,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--parking--g5', 'information--pedestrians-crossing--g1', 'regulatory--keep-right--g1', 'information--pedestrians-crossing--g1', 'regulatory--keep-right--g1', 'regulatory--dual-path-bicycles-and-pedestrians--g1', 'other-sign', 'other-sign']",20,val,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
MT3Flm8pkX_pPgjaSL7MTQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign']",4,train,['other-sign']
MVjccDGDCzFMHFrfsHDB3Q,"['information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,val,"['other-sign', 'information--pedestrians-crossing--g1']"
MWHNdP3LDioTtZ3buo2WPQ,['information--pedestrians-crossing--g1'],1,val,['information--pedestrians-crossing--g1']
MdadPgyGdpu_0-Bum24Tzg,"['regulatory--priority-road--g4', 'regulatory--yield--g1', 'regulatory--no-parking--g1', 'other-sign', 'other-sign', 'regulatory--one-way-left--g1', 'regulatory--end-of-maximum-speed-limit-30--g2', 'regulatory--one-way-left--g1', 'other-sign', 'other-sign']",10,val,"['other-sign', 'regulatory--yield--g1']"
Me8pDx3jZFZOVlkFbamrDg,"['other-sign', 'other-sign', 'other-sign', 'regulatory--no-parking-or-no-stopping--g3', 'regulatory--no-turn-on-red--g2', 'regulatory--text-four-lines--g1', 'regulatory--turn-left--g2', 'other-sign', 'regulatory--no-entry--g1']",9,test,"['other-sign', 'regulatory--no-entry--g1']"
Mg6oJw6hYmdbBEJTJA5WIg,"['regulatory--maximum-speed-limit-100--g1', 'other-sign', 'warning--roadworks--g4', 'other-sign']",4,train,['other-sign']
MgRwWL_Wom_YUNWtwGujAA,"['regulatory--maximum-speed-limit-30--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-parking--g1', 'other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1', 'regulatory--no-parking--g1', 'regulatory--one-way-straight--g1', 'regulatory--priority-road--g4', 'regulatory--no-parking--g1', 'regulatory--end-of-no-parking--g1', 'other-sign', 'other-sign']",18,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
MhN10OU1MKNNe-PXKL7bJQ,"['regulatory--yield--g1', 'regulatory--bicycles-only--g1', 'information--pedestrians-crossing--g1', 'regulatory--one-way-left--g1', 'regulatory--yield--g1', 'other-sign', 'regulatory--priority-road--g4', 'other-sign']",8,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
MkNhvB9cPH51pg1Wi769LA,"['warning--curve-left--g2', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",4,train,['complementary--chevron-left--g1']
MlVZZeuP9j0dLlHnb5kRFw,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'information--highway-exit--g1']",3,train,['complementary--chevron-left--g1']
MsBMfWfOmH-L5s4r-KYGOg,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'regulatory--stop--g1', 'complementary--chevron-left--g1']",5,train,['complementary--chevron-left--g1']
MufTwZsK9krm4Xf9Yj8s4A,"['warning--road-widens-right--g1', 'regulatory--maximum-speed-limit-80--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",6,train,['other-sign']
Mx5o8EsQHlJvk4DVoaOXCQ,"['regulatory--keep-right--g1', 'regulatory--yield--g1', 'warning--other-danger--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,test,"['other-sign', 'regulatory--yield--g1']"
MxMt_oQmWdu0uOFsTmBfww,"['warning--road-bump--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'warning--two-way-traffic--g1', 'regulatory--maximum-speed-limit-30--g1', 'warning--two-way-traffic--g1', 'other-sign', 'regulatory--no-right-turn--g1']",14,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
Mye778tS_vNJmD5_zltKsQ,"['warning--children--g2', 'warning--children--g2', 'warning--roundabout--g25', 'regulatory--yield--g1', 'regulatory--maximum-speed-limit-10--g1', 'regulatory--yield--g1']",6,val,['regulatory--yield--g1']
N-WdZc-aNzc9JPxWlsdvEQ,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,train,"['other-sign', 'regulatory--yield--g1']"
N3-OPltRuG22bNPAfjJW8A,"['warning--narrow-bridge--g1', 'other-sign']",2,train,['other-sign']
N4LZYq3kD0XxgKxlYdWhqQ,['other-sign'],1,train,['other-sign']
N5kmOy74TyrvHq9GW3_yYg,"['regulatory--yield--g1', 'warning--roadworks--g1', 'regulatory--priority-over-oncoming-vehicles--g1', 'other-sign', 'other-sign', 'regulatory--end-of-speed-limit-zone--g1']",6,train,"['other-sign', 'regulatory--yield--g1']"
NBCssvM83okEIPwKV_zQ1g,"['regulatory--maximum-speed-limit-50--g1', 'regulatory--maximum-speed-limit-50--g1', 'complementary--trucks-turn-right--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'regulatory--go-straight-or-turn-left--g1', 'other-sign', 'other-sign']",15,test,"['other-sign', 'regulatory--yield--g1']"
NBF1Hhzr5G9ZWWOm8UYscg,"['regulatory--end-of-buses-only--g1', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign']",5,test,"['other-sign', 'regulatory--no-entry--g1']"
NIbp39sTQQT8Y0rbK9I_eg,"['regulatory--yield--g1', 'warning--crossroads--g1', 'regulatory--no-parking--g1', 'regulatory--no-entry--g1', 'complementary--tow-away-zone--g1']",5,train,"['regulatory--yield--g1', 'regulatory--no-entry--g1']"
NL6CtpcKfSOcxGXUGMHEWg,"['complementary--both-directions--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",6,train,['other-sign']
NMrEydxmj8bBWRDfgvl9dA,"['regulatory--yield--g1', 'warning--roadworks--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--maximum-speed-limit-40--g1']",9,test,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
NN4r0JlK-EPT9MlbFGs-Uw,"['warning--junction-with-a-side-road-perpendicular-left--g1', 'warning--pedestrians-crossing--g5', 'information--pedestrians-crossing--g1']",3,test,['information--pedestrians-crossing--g1']
NRdx3CG9X6tm3h-5aTcnPg,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",6,train,['other-sign']
NY85VnJv3raQWCd3599Suw,"['other-sign', 'regulatory--one-way-left--g3', 'regulatory--no-entry--g1', 'regulatory--no-right-turn--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",9,train,"['other-sign', 'regulatory--no-entry--g1']"
NbndnxIg-c5XjA69ybqh7A,"['information--parking--g1', 'other-sign', 'other-sign']",3,test,['other-sign']
NeuXkQoqWqyav86VO3DVDA,['other-sign'],1,test,['other-sign']
Ngtzi4koG9U103ggk7EWMA,"['warning--roadworks--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'warning--roadworks--g1', 'regulatory--keep-right--g1', 'regulatory--no-overtaking--g1', 'regulatory--no-entry--g1', 'other-sign']",20,train,"['other-sign', 'regulatory--no-entry--g1']"
Nh3XbQlOvoTaTpEsbHU4_g,"['information--parking--g2', 'regulatory--buses-only--g1', 'regulatory--no-stopping--g15', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,test,['other-sign']
Nl_6bq8gi88pUm5FKvYv4A,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,val,"['other-sign', 'complementary--chevron-left--g1']"
NqLwV30HaNLPfqlxejYXdQ,"['regulatory--end-of-speed-limit-zone--g1', 'regulatory--pedestrians-only--g1', 'regulatory--roundabout--g1', 'regulatory--yield--g1', 'regulatory--keep-right--g1', 'other-sign', 'regulatory--yield--g1', 'regulatory--bicycles-only--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--end-of-no-parking--g1', 'other-sign']",15,val,"['other-sign', 'regulatory--yield--g1']"
Nr5QkAC8Qo92oqnMZLrDrQ,"['regulatory--no-overtaking--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",5,train,"['other-sign', 'information--pedestrians-crossing--g1']"
NuzcQbkFkevjktMDvVJf_A,"['regulatory--dual-path-bicycles-and-pedestrians--g1', 'regulatory--no-entry--g1', 'regulatory--no-entry--g1', 'regulatory--go-straight--g1', 'regulatory--keep-right--g1', 'regulatory--no-stopping--g15', 'regulatory--yield--g1', 'regulatory--no-entry--g1']",8,train,"['regulatory--yield--g1', 'regulatory--no-entry--g1']"
NwTH4zozcEZqzmWZn0rsPw,"['regulatory--no-overtaking--g2', 'regulatory--maximum-speed-limit-40--g1', 'other-sign', 'regulatory--no-parking--g1', 'warning--winding-road-first-right--g1', 'other-sign', 'other-sign']",7,train,['other-sign']
NyJCjJK9XZ5nsxWDKDR3jQ,"['other-sign', 'other-sign', 'other-sign', 'other-sign']",4,test,['other-sign']
O6Tbf19-y-HOgjDwDVqIxQ,"['regulatory--no-stopping--g5', 'regulatory--no-entry--g1', 'other-sign']",3,train,"['other-sign', 'regulatory--no-entry--g1']"
O6bZPIapaM_ZlpQVjLoIiQ,"['warning--pedestrians-crossing--g1', 'information--parking--g1', 'information--parking--g5', 'other-sign']",4,train,['other-sign']
O8_vXtkrVg3Y_ysXhpFYcQ,"['regulatory--yield--g1', 'regulatory--yield--g1', 'warning--roundabout--g1', 'warning--roundabout--g1', 'other-sign', 'regulatory--turn-right--g1', 'other-sign']",7,train,"['other-sign', 'regulatory--yield--g1']"
ODMkjKqqt61WNE7PYNnTnQ,"['information--pedestrians-crossing--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'information--camp--g1']",5,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
OEP6GvPBz0lAOH9D-8NYgw,"['information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",3,test,"['other-sign', 'information--pedestrians-crossing--g1']"
OKvaZmIM5fbPADivCALy3g,"['regulatory--no-parking--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--keep-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'information--parking--g1', 'regulatory--shared-path-pedestrians-and-bicycles--g1', 'other-sign', 'other-sign']",17,test,"['other-sign', 'information--pedestrians-crossing--g1']"
OOX8un9h3QY-Y9c6yJl3UA,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign']",5,train,"['other-sign', 'complementary--chevron-left--g1']"
OQUhyRnbKkzRwsY-FnlEZw,"['other-sign', 'information--pedestrians-crossing--g1']",2,val,"['other-sign', 'information--pedestrians-crossing--g1']"
OSG7joS9-XiSlpWXNEXLUg,"['regulatory--priority-road--g4', 'information--pedestrians-crossing--g1', 'regulatory--no-heavy-goods-vehicles--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign']",7,train,"['other-sign', 'information--pedestrians-crossing--g1']"
OT1_CKnZbSihjqZAho6C3g,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'regulatory--yield--g1', 'warning--traffic-merges-right--g1', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'regulatory--no-overtaking--g5', 'other-sign', 'other-sign', 'other-sign']",11,train,"['other-sign', 'regulatory--yield--g1', 'complementary--chevron-left--g1']"
OTRIfcZmAwn-i2oVe-HQMg,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign']",11,val,"['other-sign', 'regulatory--no-entry--g1']"
OUVWxaZGSHk84sQbVSp7kg,"['regulatory--no-stopping--g15', 'information--pedestrians-crossing--g1', 'regulatory--yield--g1', 'regulatory--no-bicycles--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--maximum-speed-limit-5--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",15,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
OVgspvbmQuDb4ZeIw9o9KA,"['other-sign', 'other-sign', 'information--telephone--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",9,train,['other-sign']
OVufUHvt4e2Grrilu4GjJA,"['other-sign', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--no-u-turn--g1', 'other-sign', 'regulatory--no-stopping--g15', 'regulatory--no-u-turn--g1', 'regulatory--priority-road--g4', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",13,train,"['other-sign', 'regulatory--no-entry--g1']"
OXeoNbV2XdokHjb0ba9V8Q,"['regulatory--priority-road--g4', 'regulatory--go-straight-or-turn-right--g1', 'other-sign', 'regulatory--go-straight-or-turn-right--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign']",10,val,"['other-sign', 'information--pedestrians-crossing--g1']"
OZ3VxvgJtt2ACEdGZ-z7zQ,"['other-sign', 'regulatory--no-heavy-goods-vehicles--g1', 'complementary--turn-left--g2', 'other-sign', 'information--pedestrians-crossing--g1', 'regulatory--no-heavy-goods-vehicles--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,train,"['other-sign', 'information--pedestrians-crossing--g1']"
OZQOUNcoZi4HmbMRHfFqKQ,"['regulatory--roundabout--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign']",4,train,"['other-sign', 'regulatory--yield--g1']"
Ob44_ftQV99cR9hmI2hF4w,"['regulatory--keep-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'warning--roadworks--g1', 'other-sign', 'other-sign', 'other-sign']",15,train,"['other-sign', 'regulatory--yield--g1']"
